date_info,name,title,content,rating
Reviewed in India on 29 September 2019,Sumit Saxena,Low Quality/ Pathetic Customer Support,"Earlier I gave a positive review, but after using it for 1 month I would like to take back all the good things I said about the product.. It is indeed cheap and the polish of the tray is coming off.. What is more disappointing is their customer service, who doesn't have any credibility. They make fake commitments all the time whenever contacted.. All the best if you've also purchased this item.. Unfortunate Buyer,. Sumit Saxena",1.0 out of 5 stars
Reviewed in India on 1 March 2019,SonamGupta ,MUST BUY ..... INALASA AIRFRYER,IT IS MORE THAN VALUE FOR MONEY HAPPY WITH THE PRODUCT ........ PREPARED FOOD IS VERY DELICIOUS . THANKYOU .... INALSA AND AMAZON FOR PROVIDING SUCH A GOOD PRODUCT TO START OUR DAY WITH OIL FREE DISHES ....,5.0 out of 5 stars
Reviewed in India on 22 February 2019,Ankit Mishra,Easy to use,Inalsa Air Fryer...this is awesome product ...10/10. Value for money 10/10. Philips vs inalsa ...inalsa10/10,5.0 out of 5 stars
Reviewed in India on 23 July 2019,Tushar Arora,Was almost a great product,"I bought this in the prime day sale on 15th July, only by the brand value, as inalsa products are great value for money as we also have other products of them. On my first try for this product i tried using mccain potato cubes in this. I started the fryer, and wall was going great for 4-5 mins until suddenly the heating light went off, i thought it was a cycle thing, but 10-15 sec later , the power light went off while the timer was still running as it is spring based. I tried to take the container out and re-insert it. the power and heating lights went online, and that is when i realised as i left the handle that these were pressure based and as soon as i left the pressure on the handle , there might have been a connection problem due to loose grip, the lights went off again. I gave it 2-3 more tries , normally holding it thinking it was a one off thing. But the same happened over and over again. Then i immediately ordered a return which was quick.. Although there was a problem in the piece, i lost the interest in the product itself, the potato bites did actually get cooked properly, but i lost the trust in the mechanism. I ll try some other brand some other time now.",2.0 out of 5 stars
Reviewed in India on 4 April 2019,Amazon Customer,Product has manufacturing defect.,Product has manufacturing defect as the right side of plastic body found detached.. It appears this defect was overlooked as box has no apparent damage.,1.0 out of 5 stars
Reviewed in India on 28 July 2019,Amazon Customer,Poor design and Quality. Look for something Better.,"An impulse purchase based on Inalsa Brand name but I am disappointed. Product got delivered on evening of 27July 2019 yesterday and opened this morning 28th. Tried cooking french fries and the product worked flawlessly for the first 10 mins. As after 10 mins, I had to shake the fries, it stopped working and took lots of adjustment which was a mood spoiler. The next lot i.e. third time it stopped working at all and it's all due to poor mechanism.. To summarise:. - Product is easy to use and clean provided it's in use.. -If it works well, don't expect it to be a lasting product as build quality is filmsy.. - The unlock mechanism of fryer is faulty and can lead to unlocking of fryer from base and base will fall down too while removing contents.. Based on the above retuning my product and will look for something better.",1.0 out of 5 stars
Reviewed in India on 20 August 2020,Mihir Patil,Good product at a great price,"My friend has this Inalsa air fryer since over a year and considering he was very happy with the purchase, I bought this air fryer too at a price of 4377 (plus additional 10% sbi discount). It got delivered in a day. To my utter disappointment, the air fryer stopped working on the first day itself. It was simply dead. I ordered replacement and the replacement air fryer came in another 24 hours. I was kinda sceptical at this point and tried the air fryer, immediately after it arrived. To my surprise, it had few minor scratches here and there but I paid least attention towards them and tried using the air fryer. It worked! I am writing this review after around 2-3 months of usage and can say that it is working quite nicely. Have made many dishes and the experience has been good. It's not very good when it comes to deep fried items like Pakora or Samosas but it definitely is a good replacement for normal shallow frying and grilling. Overall, I am quite satisfied with the purchase.",4.0 out of 5 stars
Reviewed in India on 18 August 2020,Shashikant Yeole,Better than expected,"Excellent way for cooking for veg and Non-veg families. What a perfect nonveg chicken tikka prepared, better than eating outside in hotel, fish fry perfect. Also tried french fries, veg cheese balls, all cooked so well. Remains hot from inside for much longer time than we do fry on pan or even in tandoor. So happy to buy and eat food cooked in this air fryer.. Cons: The lock for frying pan gets stuck, manufacturer Inalsa must think of this point to avoid annoyance of the user.. Also they should try to use electronic timer instead of mechanical one for these product if not done already.",5.0 out of 5 stars
Reviewed in India on 14 April 2019,MANISHA J.,Value for money,"Nice thing. We are fond of eating French fries, potato cutlets, samosas and other stuff, it saves a great deal on oil.. Best product for the price.. Though it they could have arranged for a demo, it would have been the best.. Demo person didn't come even after multiple mails and calls. He fixed a date too and even then didn't show up.",4.0 out of 5 stars
Reviewed in India on 7 July 2019,Nabeel Sultan,Loose body. Top cover not closing tightly,Paint of the baking tray coming off. If its paint then too much bad for health.. Then rust developing and that too is ferric red color type rust.. Don't know what happened when I used it. for the second time since delivery of the product. But may be while delivery or manufacturing defect. Top cover not closing completely and due to this the power is turning off. Has to put heavy object over it to let it continue operation. Waiting for Amazon's approval for return or repair.. Need to operate for too long to cook completely. The timer is only 30 minutes but one cycle of 30 minutes is enough only for streaming the food. For frying the food it takes more than 1 cycle of 30 minutes,1.0 out of 5 stars
